avg_secchi,roaddensity_density_mperha,MIROC5.avg.ann.gdd
2.7703374099999998,94.9614,2561.4572731398825
1.996732921,84.6445,2597.669900951019
1.193841667,31.8155,2633.778358228461
2.827128125,97.2299,2508.726295542825
1.629018901,95.5601,2619.1992871466714
2.8738576,82.026,2683.1252786653436
3.488418079,62.8254,2561.359172559421
3.556056338,60.6226,2561.359172559421
3.756381579,92.5015,2561.359172559421
5.84948878,73.3938,2509.5017607128116
1.151054217,35.1995,2724.0687475876884
1.4,110.2328,2773.6891350705505
1.227880588,81.9259,2661.1329671732115
1.810116312,28.3148,2537.2816298327966
3.81,24.5026,2508.8958499046194
1.300968302,58.0708,2587.019399314834
0.788846154,107.1762,2644.5727033018848
1.0287,14.8031,2648.723588560729
0.47754386,33.2341,2740.024794747621
0.816864,34.6677,2561.902444374492
1.542739044,34.6677,2561.902444374492
1.297797101,34.6677,2561.902444374492
1.729205602,31.6293,2594.9922244845625
1.528571429,81.196,2655.5177015571207
3.522683721,64.0984,1994.2922650734847
3.82049313,58.0623,1969.382930464115
1.528887066,51.9494,2136.0415978464052
2.360611765,33.3566,2136.0415978464052
2.315985,37.9653,2136.0415978464052
1.343525874,11.8574,2151.7038998059775
2.614439024,52.4331,2193.9184582880093
4.600266222,39.5883,1920.4572898671272
2.05166875,33.1724,2022.4048167433132
3.074604975,55.9394,2083.582670732762
4.66787234,28.4016,2043.0821237139253
3.175925926,53.3747,2047.8271261997663
1.643534239,51.6175,2355.1505396031216
1.7543003129999999,75.0919,2248.8215529166173
0.650674965,70.9308,2569.4350488165255
1.158189091,30.3607,2509.4596056862533
4.205536,77.0468,2321.226176344558
1.8519688,61.7294,2377.578336941286
3.105911111,28.5857,1939.4224577529696
3.937785366,35.1247,2030.0844607322576
3.768225067,35.1247,2030.0844607322576
5.239635744,49.3448,1959.043701314459
3.7792,28.8216,2044.729447664831
2.609725926,68.4633,2100.6006426052195
4.188910112,128.072,2076.424464888728
4.792315862,64.1234,2048.170344660241
4.572,9.8727,1825.6845498422683
4.6101,55.7086,1959.698667195442
2.5918,94.2346,2120.8003545729093
3.172771111,6.7908,2033.2178781971884
0.61,7.2988,1948.964558727384
4.058147416,41.3129,1948.1090498725332
2.420172308,21.7539,2042.8434442076352
0.91,0,2041.821454669766
3.03,33.2023,2035.248443903522
3.239904189,33.2023,2035.248443903522
2.825,4.3694,2039.9893161167115
2.948106667,3.1314,2070.6579061074244
2.076428571,33.7578,2042.235613106129
0.96,8.5871,1947.8462587100073
2.878559459,36.7086,1963.4000410296264
0.91,0,2113.028226945111
0.522945161,22.616,2505.800354337164
0.612380658,41.5027,2618.1557327412993
0.888031333,27.5183,2511.393289440849
0.66602,35.6086,2304.5475144670104
0.479175789,35.9402,2568.3057136479074
1.061242409,49.6077,2279.2247122144267
1.952318857,46.4028,2469.862327834337
1.414248763,34.6453,2369.994826632499
3.74181858,91.891,2362.7386765512065
3.755335229,65.1498,2431.74808862658
3.80675392,52.3481,2354.2279866311965
3.862976895,79.7803,2401.1246421620212
2.319991258,68.3543,2370.4149732813953
2.218226036,87.0372,2450.0399162018302
2.897784615,56.9242,2461.4259401312124
2.932885854,25.9675,2432.2619185402295
2.298534347,39.8062,2361.12725913323
0.98298,27.6919,2373.2292562716148
0.530352,24.0711,2493.095116479325
3.309527053,0,1875.4090003585964
1.7272,0,1857.384753426124
1.759186885,37.0853,1921.552717157486
2.762704033,0,1901.9514583231871
1.3073104,30.4496,2651.5837859220364
1.276628955,68.9313,2639.6867632462663
1.787206184,67.703,2600.4318322083127
1.237417971,88.5751,2667.1189780525865
2.313318222,83.7379,2552.214083051663
1.614943182,48.5647,2651.081016961165
1.7952689,49.4781,2465.9205396571515
1.106397473,56.1054,2687.4255250746182
0.635248,13.9711,2516.4398222550426
3.092527138,38.9627,1999.293587636819
3.497297297,48.015,2039.4799468836532
0.924678571,29.1729,2587.951324647252
1.24409581,39.5563,2533.70700986162
2.691745653,39.1464,2457.917338515093
1.717722105,17.4219,2518.2629711123323
2.372684007,36.2851,2447.136419301217
0.764509613,35.443600000000004,2557.151209448754
2.478166667,33.1617,2385.721135784781
4.245685358,55.1627,2476.7035783008
3.446957241,69.1301,2197.695317148977
0.859166667,51.233,2253.6764995476387
1.635155556,19.4871,2214.2017333984872
1.558461538,10.7289,2070.1212023659104
4.776182192,47.5787,2200.2130876494166
4.508631356,42.2559,2180.895518787944
2.805257644,62.5897,2228.3038986769793
3.622018529,49.478,2267.4410837789237
4.001053755,40.1805,2235.875482342087
0.608394955,31.9657,2558.405609251098
1.205816,19.6368,2418.383651615265
1.480900046,40.5543,2553.972479955798
1.97898087,53.8102,2262.3910140789767
3.840104497,40.2453,2124.32649055974
2.011050431,41.6569,2109.313974843294
2.017871549,56.0003,2228.40154800263
3.909215145,55.873,2107.492440434388
3.753651612,27.024,2094.692742289851
5.117642353,25.8161,2088.2416682373637
3.536935535,59.7291,2131.165799388084
