DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
10004300,Lake or Pond,443758.2643,4968752.578,Carver,Y,1,1.208,2.75,2.9742,2383.673051566129,2511.594886050332,2390.278356479908,2214.610661273532,2218.047819886612
10004400,Lake or Pond,445713.504,4968365.055,Carver,Y,1,1.6764,2.1336,31.4563,2393.5185065919095,2522.035181383195,2393.4841728960073,2219.1113797496055,2220.489803376058
10004401,Lake or Pond,445173.1132,4968516.596,Carver,N,1,2.742178218,7.15,31.4563,2393.5185065919095,2522.035181383195,2393.4841728960073,2219.1113797496055,2220.489803376058
10004402,Lake or Pond,446245.3759,4968215.903,Carver,N,1,1.603873874,4.3,47.9126,2477.6397261750894,2610.2276374767766,2479.0225366052123,2303.332874532638,2307.5404631125384
10004500,Lake or Pond,447920.1069,4968362.151,Carver,Y,1,2.200882353,7.14,64.3282,2424.1309610862486,2552.7555491618095,2427.9002316758083,2248.2764147503917,2251.2559441387657
10004700,Lake or Pond,446838.2232,4967089.288,Carver,Y,1,1.989560976,3.95,68.87,2470.9555169351243,2601.6709559638084,2473.268360268909,2292.4815664056687,2297.1630211054953
10004800,Lake or Pond,446667.9857,4965550.873,Carver,Y,1,1.275933409,7.6,45.0392,2409.358752593323,2535.332276107663,2410.278182394946,2231.252125225932,2233.3984464235964
10005200,Lake or Pond,441004.181,4965322.65,Carver,Y,1,1.690663725,6,35.0387,2411.5818762439117,2533.4601026441987,2410.541431348852,2223.8014313089006,2234.391721976195
10005300,Lake or Pond,444817.34620000003,4964659.238,Carver,Y,1,2.575627976,6.1,29.2657,2395.7433973476723,2515.255299199998,2391.658496190413,2210.1279053814337,2218.685106618052
10005600,Lake or Pond,446398.2862,4970816.85,Carver,Y,1,2.66085913,5.4,22.3999,2423.4408241013966,2553.255931181786,2427.8848810662416,2247.419309252313,2249.8886078140686
10005900,Lake or Pond,438075.9935,4968663.038,Carver,Y,1,2.542670505,7.435,77.877,2414.5910111547832,2545.476029870721,2417.9087630232075,2238.6132689104356,2242.589191936907
10008400,Lake or Pond,436404.8982,4966513.274,Carver,Y,1,1.625412903,4.2,77.0026,2485.110885419924,2616.3934285487576,2486.6886743146765,2305.8925149339107,2309.2538863621626
10008800,Lake or Pond,430824.8051,4962821.211,Carver,Y,1,1.483132222,4.8,38.0517,2546.7967572210946,2676.956832376672,2542.6012234207797,2359.3803144684575,2371.107977024337
10009500,Lake or Pond,435332.1947,4975508.943,Carver,Y,1,0.656095041,3.05,24.8976,2451.5046375835545,2579.5790125026638,2455.0949620144656,2276.727554612028,2283.119042886615
10012100,Lake or Pond,426089.4332,4962103.69,Carver,Y,1,1.13098961,4.6,25.3988,2586.82906938736,2715.9325079831315,2582.9224290731213,2397.7194386327383,2412.2726915177645
