DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain
10000700,Lake or Pond,455808.8316,4969527.077,Carver,Y,1,1.438565401,6.9,58.2076,2069.57601417251,2098.0961827412048,2069.3603014319983,2081.6132736628383,1951.734292986885,2552.1442220897684,2688.744104498494,2551.1373660160384,2364.775807117707,2365.939627064782,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10000900,Lake or Pond,451923.2334,4969723.697,Carver,Y,1,2.677137166,8.23,83.788,1905.5566762795831,1937.19574358415,1905.9973211339584,1918.4597766846032,1788.8254844299568,2383.501702341583,2509.8915715797243,2380.5609216683656,2200.5882603162877,2199.22636489671,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
10001200,Lake or Pond,455777.7334,4968803.557,Carver,Y,1,2.898924675,7.2,25.6257,2018.8834307912084,2046.6800249383032,2014.8466706647916,2032.524436271895,1901.7869862404532,2500.44752868551,2634.1772744090667,2498.043497057298,2312.198421807041,2314.7883889476757,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10001300,Lake or Pond,457234.7434,4966615.391,Carver,Y,1,1.457567917,4.75,110.723,2052.710002175608,2083.090230984185,2057.2922743755116,2066.4243503192033,1936.0770975402768,2533.010480748353,2668.44200409973,2532.5251681805316,2350.225785333916,2351.1206511485693,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10001500,Lake or Pond,450035.3473,4970489.965,Carver,Y,1,1.476571503,4,89.2722,1984.750580711112,2013.8470598440583,1981.4351796257115,1994.3669704978,1867.4027503489383,2467.839995547015,2596.191660518346,2465.828839211912,2281.003655230704,2280.0971880694883,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10001800,Lake or Pond,448964.4579,4969387.824,Carver,Y,1,1.780411765,5.5,67.7221,1975.1290190875568,2002.9659619364284,1973.4419899689167,1984.0702111239568,1860.1045546997968,2438.4000381602505,2564.4719460927427,2437.6397230979596,2257.7500072801963,2261.004039828334,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
10001900,Lake or Pond,449417.4961,4965063.183,Carver,Y,1,2.168862253,7,69.6609,1948.670509984735,1977.4007852723184,1942.8727111117569,1960.223235629215,1834.33992599207,2419.2583601816546,2539.9811873611525,2415.3614131672575,2232.3089575849294,2243.996128864579,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
10002900,Lake or Pond,441319.1837,4959435.693,Carver,Y,0,0.79807218,3.585,4.9428,2130.55176868643,2149.309685406938,2121.596693012437,2136.0922676919818,2011.33813547858,2598.0172333921373,2728.557068070135,2598.213810974497,2412.8633964296428,2426.588624326313,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog
10004100,Lake or Pond,447386.2309,4970187.927,Carver,Y,1,2.878928462,8.83,40.9,1859.256534770665,1886.2914431496467,1851.84936191512,1864.98257365378,1742.0486984309382,2318.516405098285,2436.310967603209,2317.146944963326,2142.6439461249197,2141.5228009065268,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
10004200,Lake or Pond,442272.4131,4970141.587,Carver,Y,1,1.067381643,5.4,18.1459,1973.7120371855267,1996.2340728343936,1967.4081612290563,1978.779617019085,1852.61022059556,2430.863003667523,2554.7485204179047,2429.4512378030922,2253.8472566924665,2257.5540470895194,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog
