DOWLKNUM,UTMX,UTMY,LON,LAT
21005400,318736.5117,5082842.145,-95.33570444,45.87527002
21005600,317887.6703,5088803.493,-95.34889399,45.928656
21013600,308344.7202,5099831.598,-95.47628518,46.02522522
21032300,292646.5587,5090806.243,-95.67498426,45.9395099
22002300,435218.7902,4836599.332,-93.80369273,43.67958036
22007400,413207.5862,4852371.912,-94.0792766,43.8193241
24001400,474747.9541,4830854.397,-93.31302759,43.63024949
24002500,467122.2397,4830865.651,-93.40755553,43.6300529
24002800,459546.8393,4821721,-93.50077453,43.54734281
24004400,454410.7188,4843590.554,-93.56619877,43.74395206
27001400,479718.8188,4976527.898,-93.25706576,44.94189549
27001600,475926.2825,4974312.964,-93.3050303,44.92183855
27001800,481364.3643,4974205.996,-93.23612285,44.92103887
27001900,480883.9376,4972829.157,-93.24215798,44.90863184
27002200,478733.0637,4971920.242,-93.26936627,44.90038879
27002900,472554.9237,4968393.863,-93.34742598,44.86843315
27003100,475395.1173,4976539.934,-93.3118689,44.94186734
27003501,473325.2551,4982263.415,-93.33840694,44.99331443
27003502,473511.8638,4982112.826,-93.33603166,44.99196585
27003700,474491.7917,4980985.527,-93.32354329,44.98185403
27003900,474634.7607,4978543.587,-93.32160704,44.95987722
27004700,469736.6942,4964913.818,-93.38289342,44.83699183
27004800,470886.7537,4963220.205,-93.36824601,44.82179376
27006100,469048.0028,5003325.429,-93.3939699,45.18273207
27006900,461179.8475,4969570.841,-93.49150821,44.87849924
27007000,460770.4842,4967261.896,-93.49651231,44.85769217
27007100,461076.5578,4968472.695,-93.49273157,44.86860832
27007600,462432.439,4966108.018,-93.47539289,44.84739464
27007800,464051.5632,4964993.522,-93.45482565,44.83744551
27009800,465885.2662,4989149.605,-93.43325864,45.0549827
27010200,465898.2701,4987509.229,-93.43298209,45.04021733
27010400,466900.027,4983747.102,-93.42001565,45.0063995
27011101,467476.214,4991303.386,-93.41319372,45.07444502
27011102,466995.1951,4990376.854,-93.41924361,45.0660825
27011700,460555.5178,4995288.768,-93.50142744,45.10996725
27011800,463526.1034,4993273.079,-93.46351912,45.09198263
27011900,465291.521,4992369.64,-93.44102186,45.08393915
27013301,461073.933,4977962.432,-93.49349529,44.95403226
27013303,458150.0187,4974879.752,-93.53030694,44.92611691
27013304,456389.7931,4972800.373,-93.55243145,44.90729334
